Character name,"Character race (human, orc, halfling, etc)","Character class (wizard, bard, cleric, etc)"
Gaston le Gume,Human,Cleric
Lance Nikolaidas,Drow,Paladin
Yu'ul,Orog,Dread Necromancer
Papnoute,Mummy,Mummy
Thanatos,Lesser Aasimar,Cleric
Kikori,Hengeyokai,Cleric
Eros,Gray Elf,Cleric
Astrid,Choldrith,Cleric
Amelia,Human,Artificer
Atticus Relion,Human,Cleric
Mystral Skipwood,Half-Genasi,Fighter
Enki Firetosser,Tiefling,Barbarian
Aurix,Desert Kobold,Warlock
Catena Deus Rex,Water Orc,Crusader
Gerbil,Whisper Gnome,Wizard
Jalnox,Lesser Tiefling,Scout
John,Human,Cleric
Ma-Kre “Fleshcarver” Thunukalathi,Goliath,Warblade
Nodro,Wild Elf,Ranger
Zelgadis Greywords,Human,Duskblade
Naivara,Eladrin,Wizard
Nazadak,Half-Elf,Warlock
Raiann,Dragonborn,Paladin
Vallo,Air Genasi,Fighter
Cass,Changeling,Assassin
Rodina,Tiefling,Bard
Natalie Arkwright,Human,Rogue
Arsin Duskstalker,Dhampir,Sorcerer
Tide,Water Genasi,Warlock
Dante,Tiefling,Paladin
Nexcris,Human,Sorcerer
Helix Yarjerit,Dragonborn,Paladin 
Pyrs Rynggold,Human,Wizard
Roderick De la Rocha,Human,Thief
Blendarr,Dwarf,Barbarian
Said,Genasi,Wizard
Lyssia Feathar,High Elf,Bard
Firrith,Half-elf,Druid
Koko of Silverhair ,Half Elf ,Cleric 
Farren Blackwell,Half-Elf,Warlock
Phillip,Half-elf,Magus
Augustus Pinderwich,Human,Ranger
Caulis,Homunculus,Warlock
Zurai,Dragonborn,Bard
Asher Evenwood,Human,Sorcerer
Grib,Kobold,Rogue
Zephyrus,Dragonborn,Paladin
Captain Francisco,Human,Rogue
"To the Prince We Gave Eight Flowers, Grown in His Holy Fields",Kenku,Druid
Kiereth Siannodel,Half-elf,Rogue
Flint Fireforge,Dwarf,Cleric
Lucius Mephistus VIII,Tiefling,Wizard
L'Green,Goblin,Cleric
Joren,Human,Barbarian
Eggs,Dragonborn,Barbarian
Pavel,Human,Monk
Doktor Ludwig Krauss,human,alchemist
Churrik,ratling,rogue
Kegmyl Onyxhorn,dwarf,cleric
Aalimar,Eladrin,Sorcerer
Tron,Human,Bard
Zorkath,Ratfolk,Eldritch Knight
Yesxisys,Tiefling,Bard
Taeris Vas,Human,Wizard
Javan Windrunner,Half-elf,Ranger
Helene Avila,Human,Paladin
Hezekiah Poffyknobble the Uncharacteristically Devout ,Gnome,Cleric
Maraa,Half-orc,Fighter
Thaddeus the Great and Powerful,Human,Wizard
Bob the Terrifying,half orc,inquisitor
Leorio,Catfolk,Monk
Hesperia Duskstrider,Aasimar,Cleric
Latrine,Human,Witch
Taslo Yemegi,Elf,Fighter
Theadric Lightningbell,Halfling,Bard
Godar Norixius,Dragonborn,Barbarian
Thrandor Silverhammer,dwarf,cleric
Nagash,goblin,cleric
Anakin Starkiller,tiefling,bard
Tegan Lutemaker,Human,Warlock
Geirolf,Human,Paladin
Marten Stonevine,Human,Magus
Elnadrion,Half Elf,Ranger
Caleb Tierce,Halfling,Rogue
Finn McCool,Human,Barbarian
Bimblebop Ningle,Gnome,Sorcerer
Lonehunter,Goliath,Barbarian
Tatyana M'tkudzi,Human,Fighter
Haunali,Satyr,Bard
Oglaf,Dwarf,Barbarian
Keth,Half-orc,Paladin
Kirian,Dragonborn,Ranger
Larkyna,Elf,Druid
Rowan Brandborn,Human,Paladin
Azazel Jones,Tiefling,Sorclock
Takatek Doubleclock,Kenku,Warlock
Gakarek Ironscale,Kobold,Fighter
Nezri,Teifling,Bard
Viva,Gnome,Sorcerer
Tavirat,Human,Barbarian/Rogue
Ivienne Di'Surtova,Human,Druid
Ndala,Aasimar,Paladin
Riaz,Half-elf,Rogue
Holly Berrysdaughter,Sprite,Ranger
Marigold,Gnome,Sorcerer
Albrecht,Human,Wizard
Ephra,Human,Oracle
Lily,Half-Orc,Inquisitor
Katsume,Human,Assassin
Laura,Human,Fighter
Laura Greycastle,Human,Fighter
Bohdar,Gnome,Druid
Vaess Imaim,Lizardfolk,Fighter
Antok Alair,Human,Paladin
Aarlen,Human,Wizard
Jeldfir,Gnome,Rogue
Nyx Turen,Gnome,Bard
Karkat Vantas,Tiefling,Fighter
Terezi Pyrope,Tiefling,Inquisitor
Genghis the Decimator,Human,Bard
Tali,tiefling,bard
Vaana,human,ranger
Chaktha,Abyssal Thri-Kreen,Aberrant Druid
Sampitty Tabbins,Gnome,Ranger
Homer,Half-orc,Bard
Peren Bladesong,Half-elf,Bard
Peren Bladesong,Half-elf,Rogue
Haryk Revven,Elf,Ranger
Boras Torchwing,Dragonborn,Paladin
Aileen,Ghost,Mystic
Karric,Tiger,Fighter
Balthazar Ashmodai,Tiefling,Wizard
Fenkenjerit Mirava,Dragonborn,Druid
Pip the Mighty,Fey Corgi ,Fighter
Adora Belle,half-orc,Fighter
Malika Aeducan,Dwarf,Fighter
Cillian Timeseer,Human,Wizard
Sabine na Mara,human,fighter
Delight,Teifling,ranger/warlock
Mama Hugbear,bugbear,barbarian
Dorian Pyrothis,half-orc,sorcerer
Sian Daye,halfling,rogue/bard
Zephira,air genasi,monk/rogue
Nipper Cutpurse,Halfling,Monk
Wrelar Sparkin,Gnome,Wizard
Kshom Verran,Half-Orc,Druid
Kethra Marivaldi,Tiefling,Rogue
Bea ,Halfling,Rogue
Regar,Human,Alchemist
Lament,Elf,Rogue
Cruller,Teifling,Bard
Saria Eirian,Human,Cleric
North,Human,Ranger
Aoi Abirath,Halfling,Templar
Aditi Hadrian,,
Grapes Nochche,human,rogue
X_cca,Half demon half human,Dragoon
Selene,Changling,Rogue
Kairos,human,paladin
Ed,Elven half orc,Warrior
Nyhm,Changeling,Rogue
Pa'va Kell,Goliath,Paladin
Ruben Risse,Human,Rouge 
Eliya Smith,Half-Elf,Ranger
Eva Rodgers,Human,Cleric
Jadana Sarhia,Teifling,Bard
Sariel,Eladrin,Cleric
Svardlegark Bugsquisher,Gnome,Wizard
Diagnos,Warforged,Paladin
Davion,Human,Crusader
Andor Lightsworn,Human,Paladin
Erdan,Wood Elf,Druid
Blodeuwedd,Deep Gnome,Fighter
Luth Greylock,Human,Warlock
Bungaree Chubbins,Half-elf,Bard
Taloc Hwul,Aasimar,Bard 
Trent Gayheardt,Half-Orc,Barbarian
Violet Sylain,Elf,Cleric
Kaylee Cailean,Human,Ranger
Sertraline,Yuan-Ti,Bard
Bonny Phreen,Human,Fighter
Caleb Perrywinkle,Human,Fighter
Yazgash,Half orc,Paladin
Retiaria,Tiefling,Gladiator
Rowanark of the Falling Star,Half-Elf,Cleric
Doolbpleptlpalp,Grippli,Shaman
Peacekeeper of Chaos,Firbolg,Ranger
Tashka,Gnoll,Druid
Obsidian,Tiefling,Rogue
Mardra,Tiefling,Ninja
Fynolt,Human,Fighter
Köp,Gnome,Sorcerer
Leo,Human,Cleric
Phinora,Elf,Ranger
Atmariiva,Tiefling,Druid
Dandle DeBryde,Gnome,Ranger
Najka Saa'vert,Half-orc,Druid
Myrthin Thuldrvasse Duskmantle,Dwarf,Sorcerer
Faysalle,Dragonborn,Warlock
Avaraxis Traxivan,Dragonborn,Rogue
Bantam Shy,Tiefling,Warlock
Marlien Wraithseek,Halfling,Wizard
Caspian,Elf,Wizard
Chog Sarthotron,Goblin,Barbarian
Aislann Boneskin,Orc,Barbarian
Kavelas Reyen,Dwarf,Druid
Khirilya Ashforge,Dwarf,Cleric
Awirsee Veothlin,Half-elf,Warlock
Xysin Naliana,Dragonborn,Rogue
Shalas Daziran,Dragonborn,Sorcerer
Roxori,Half-elf,Warlock
Arvy,Elf,Ranger
Killabelle,Tiefling,Ranger
Sall,Tiefling,Paladin
Zagal,Goblin,Rogue
Aetheldreda Kamar,Vampire,Rogue
Rex’ilaryon,Elf,Wizard
Darzack,Dwarf,Wizard
Borick,human,wizard
Dignity,Tiefling,Fighter
Zulok,elf,ranger
Mari-Jen,human,druid
Illarya,Half-elf,rogue
Monique,half-elf,monk
Salenzar,dragonborn,sorcerer
Arthos,Dwarf,cleric
Landis,half-elf,wizard
Skorpi,human,ranger
Keplar,human,fighter
Rubio,dragonborn,ranger
Jin Savi Laila,Halfling,Warlock
Alariel Avilah,Air Genasi,Bard
Past Walker,Goliath,Barbarian
Shiloh Bronzebraid,Human,Wizard
Thia,Elf,Ranger
Birch,Shifter,Rogue
Naethra,Tiefling,Warlock
Aria,homunculus,wizard
Ashley Kadentis,Half-Elf,Wizard
Arcadia D'Alambert,Human,Paladin
Anguis Alipedis,Dragonborn,Ranger
Kim Coralheart,Merfolk,Druid
Jorrax Patrin,Dragonborn,Rogue
Legolas Ardeph,High-Elf,Cleric
Keith Brogane,Half-Orc,Barbarian
Sin Lolth,Drow,Warlock
Tbilisi Havak'vel,Insectoid,Cleric
Eres Reeds,Merfolk,Rogue
Alex,Human,Sorcerer 
Sontar,Elf,Cleric 
Elmyra Mithdrindahl,Elf,Rogue
Odal Assun,Tiefling,Warlock
Afternoon Nap,Tabaxi,Barbarian
Parthurnaax,Dragonborn,Paladin
Partrix,Halfling,Sorcerer
Mia Folkor,Elf,Rogue
Mya Folkor,Elf,Ranger
Orivia Honestheart Valunavi,Goliath,Barbarian
Harrgun Bearkiller Thuliaga,Goliath,Barbarian
Seeker Jerim Hammond,Human,Warlock
Tobias Cloud,Half Elf,Sorcerer
Vagranesh Tomark,Brass Dragonborn,Paladin
Mendax Brie,Changling ,Bard Warlock
Sindrel Howse,Drow,Bard
Dargai,Human,Monk
Irene,Human,Scholar
Edan Glaston,Sylph,Rogue
Meilin Shierlo,Fetchling,Arcanist
Tolman Thorngage,Human,Fighter
Jalain,Dwarf,Warlock
Barvardan,Human,Barbarian
Vildar Muness,half-elf,swashbuckler
Pogon,Kobold,Wizard
Kissae,Catfolk,Bard
RockFist HardCheese,Human,Barbarian
Eetu,Tiefling,Magus
Hildith ,Dragonborn,Light Cleric
Fory,Halfling,Bard
Garrus Longtail,Wemic,Machinesmith
Rurik Stonegait,Dwarf,Cleric
Pavel Ashwind,Tiefling,Warlock
Lyle Tealeaf,Halfling,Monk
Korak Dargirn,Dwarf,Fighter
Zylxisys,Elf,Wizard
Dave,Asian,Substitute Teacher
Pip Little,ratkin,rogue shadowdancer
Echo,Human,Gunslinger
SEC-FMO-IOSA-_-N83,Phraint,Engineer
Kvossa Brysesis,Tiefling,Ranger
Lucca Felenar,Teifling,Warlock
Brea SOldorak,Dwarf,Rogue
Bloople,Gnome,Barbarian
Felicia Harvey,Human,Mage
Kendrick Belolas,Half-elf,Bard
Saehel Eoloeth,Fey'ri,Dragonfire Adept
Selsharr,Tabaxi,Bard
Edward Kaern,Dhampir,Occultist
Fletch Trueshaft,Elf,Ranger
Thomas Dantiir,Elf,Ranger
Twimsy Augerwheel,Gnome,Bard
Helja Jaegershield,Dwarf,Fighter
Lark,Dragonborn,Bard
Wilhelm 2,Human,Fighter 
Valkor,Draconian,Sorcerer
Revel Baccharnale,Elf,Fey Warlock
Jaspur Quellstone,Lionman,War Master
Rahmi Romazi,Half-Nymph,Fey Knight
Heijastus Avgrunn,Lizardfolk,Summoner
Lun the Hatcher,Lizardfolk,Monk of the Open Palm
Rheiford Iosaphonn,Dullahan,War Master
stabby mcstaberson,half-elf,shadowblade
Asenath of Gavaldon,Elf,Wizard
Sylthana Amakiir ,High elf ,Wizard
Fionn Francach,Ratfolk,Wizard
Rhogar Norixius,dragonborn,sorceror
Imogen Inperia,human,gadgeteer
Ramia Tensay,human,sheriff
Jayne Monger,human,barbarian
Hanna Umbriel,human,cleric
Anyia Po,human,shaman
Giana Killaine,human,healer
Nim,Chimpanzee,Fighter
Ulara de Verici,dark elf,rogue
Thalassa Miller,human,druid
He Who Betrays,human,monk
Reida,dragonborn,rogue
Penwyn Woodsheart,Gnome,Druid
Thomaslug,Goblin,Rogue
Jon Harrow,Human,Cleric
Gudrun Drakkensblod,Half Orc,Barbarian
Gardain Ironside,Dwarf,Barbarian
Maes,Fibolg,Druid
The Dressmaker,Human,Sorcerer
Sohanlo Tarlsord,Half Elf,Rogue
Jaspar Gavorn,Dwarf,Fighter
Adder Brith,Human,Ranger
Margaret,Half Elf,Paladin
Maes,Firbolg,Druid
Lindalëynn Telloein,Piper,Bard
Nifrideil Moredhel,Drow,Cavern Sniper
Urg,Half-orc,Bard
Saabihah Ircaasz,Vishkanya,Alchemist
Úronox Balchrhû,Drow,Cavern Sniper
Ophelia Nightshade,Dhampir,Cruoromancer
Euphemia Hilltopple,Halfling,wizard
Cerenniel,Eladrin,Swordmage
Invicta,Half-elf,Hexblade
Gorgo,Half-orc,Barbarian
Invicta,Aasimar,Warlock
Wulcanos,Warforged,Cleric
Aiel,Aarakocra,Monk
Umbra,Tiefling,Warlock
Ragnar,Half-giant,Psychic Warrior
Ashoka,Human,Necromancer
Gladius,Human,Soulknife
Cole Shadowblend,Human,Rogue/Ninja
Standin N. Yergarden,Gnome,Wizard
Hunter,Human,Gunslinger
Saradiil Velenduul,Elf,Ultimate Magus
Baedahn Tulon,Human,Death Knight
Thakgau “Thunderbreaker” Malimgalith,Goliath,Barbarian
Adva Havzaman bat Maayan Li Amichai Adara min Tolorro beyzade,Half-elf half-orc,ranger
Riley,elf,rogue
Dalia,elf,sorcerer
Oyeshibo,human,alchemist
Vix'Elya,Tiefling / Aasimar,monk
Vakir Teiren,Dragonborn,Bard
Irial Faughn,Half Drow,Bard
Araye Magaara,Tiefling,Bard
Kona,Human,Barbarian 
Lila Rei,Half-Elf,Wizard
Kirin Ramwyll,dwarf,barbarian
Kirin Ramwyll,dwarf,barbarian
Eilwyn Meremben,elf,bard
Hrol,Minotaur,Barbarian
Salithren,High Elf,Ranger
Baern,Dwarf,Rogue
Ekemon,Tiefling,Rogue
Balthamos,High Elf,Cleric
Theria,Goliath,Fighter
Morgana,Genasi,Cleric
Birch,Gnome,Druid
Havve Hogan,Tiefling,Warlock
Naoise 'Zapp' Garrick,Gnome,Sorcerer
Llewyn Cane,Half-elf,Bard
Beorn Oakskin,Human,Barbarian
Harbek Dankil,Dwarf,Rogue
Fargrim Frostbeard,Dwarf,Cleric
Galinndan Nailo,Half-elf,Bard
Yigvar,Kobold,Fighter/Rogue
Diana Stanley,Tiefling,Paladin
Ektic Sagan,Kobold,Wizard
Laucuon Liadon,Wood Elf,Ranger
Laura Kinney,Wood Elf,Monk
Kenala,Halfling,Rogue
Alan Fangor,Half-Elf,Sorcerer
Danielle Roseaqua,High Elf,Rogue
Davious Bartimaeus,Yuan-Ti,Bard
Shayna Lewis Moore,Aasimar,Sorcerer
Adyn'Ran Naïlo,Drow,Druid
Chrome Argos 872,Warforged,Bard
Kli'sp'reek,Aarakocra,Ranger
Serrow Shepherd,Aarakocra,Cleric
Fiorello Longfellow,Halfling,Bard
Faranod,Human,Barbarian
Londarian Mantooth,elf,Barbarian
Tam Winterleaf,Half-Elf,Wizard
Karen from Accounting,Dragonborn,Bard
Odabagoe,Gnome,Sorcerer
Valt del Kiez,Half-orc,Barbarian
Danny Slattery,Human,Rogue
Krunk,Orc,Barbarian
Althea,Elf,Cleric
Princess Kitty,Warforged,Gunslinger
Slythe,Yuan-Ti Pureblood,Wizard
Varien Morningwood,High Elf,Cleric
,,
Mirielye,elf,rogue
Mosus Clutchsalve,Dwarf,Cleric
Johan Schmidt,Human,Fighter
Abbadon,Tiefling,Rogue
jupatate,orc,baveur
Jaime von Klaw,Human,Wizard
Theren Meliamne,Elf,Sorcerer
Toby,Kitsune,Inquisitor
Yrena,Half-elf,rogue
Shulra Aldurin ,Genasi,Warlock
Ursan Muskin,Human,Druid
Ishim,Aasimar,Cleric
Sirris,Tiefling,Fighter
Aran,Elf,Rogue
Morthis Thrice Cursed,Tiefling,Warlock
Danry Goodbarrel,Halfling,Rogue
Daimon Ripclaw,Human,Demon priest
Molvano,Human,Lightning mage
FyLoran Trueshot,Elf,Archer
Azumel,Half elf,Bard
Guile,Human,Thief
Ambrose the Curious,Halfling,Thief
Regine Apis,Elf,Alchemist
Menfro Johnson,Human,Rock (custom)
Lady Merlina Abeille,Human,Warrior
Baldor Thorssen,Dwarf,Gladiator
Tormand Gom,Dwarf,Brawler
Rowan Crowe,Elf,Swashbuckler
Lorra Vern,Half-elf,Gunslinger
Throckmorton,Gnome,Warlock
Mumpsimus Sumpsimus,Gnome,Wizard
Mondo Sisyphean,Flesh elemental,Fluxcaster
Dormo Bombapolis,a dork,(bad) bard
Andearen Faebairn of Carefree Delight,gnome,revised ranger
Olevar the Magnificent,Yuan-ti pureblood,bard
August Urukian,Firbolg,Barbarian
Magnolia Wu,Human,Monk
Anya Antigone Machaelides Zoya,Half-Orc,Rogue
"Babette ""Hazard"" Hazarika ",Human,Wizard
Dugan Fathers,half elf,bard
Namari Amastacia,Elf,Bard
Simon Moore,human,warlock
Mihra Treesinger,elf,rogue
Gwynmyr,dwarf,cleric
Adrik Shatterfoot,Dwarf,Paladin
Glitter Doom,Tiefling,Rogue
 Zahara Dianthus,Half-Elf,Ranger
Raven Oakhollow,Human,wizard
Roland Fletcher,Half-elf ,Ranger
Corbin Black ,Human,Paladin
Eladamariliel Ruthilien,Elf,Paladin
Umberto di Falcone,human,wizard
Miray,Dwarf,Cleric
Sh'nara,Elf,Ranger
Ox,lizardfolk,ranger
Dyvia Hammerhands,Half-orc,Fighter
Trix,Human,Rogue
Lyvia ,Drow,Sorcerer
MUNG,orc,Barbarian
Draxia,Dragonborn,Fighter
Prolix,Half elf ,Bard
Loria ,Drow,Wizard
Fergie Fondlechurch,Dwarf,Cleric
Avandileth Mosseye,Wood Elf,Ranger
Slumgullion,Human,Thief
Capgi,Human,Bard
Wiemann,Halfling,Fighter
Fargrim Battlehammer,Dwarf,Cleric
Shump,Half-orc,Bard
Six Garnet,Tabaxi,Cleric
Aurin Thenakalai,Goliath,Cleric
Kirra High-hill,Halfling,Rogue
Varis,Drow,Rogue
Khanjar,Human,Ranger
Nora Knotbraid,Dwarf,Sorceror
Magnus Coalbeard,Dwarf,Warlock
Embra Ashwood,Elf,Wizard 
North Wafflington,Half human half elf,Wizard
Galatea,Shardmind,Warlock
Orchid,Tiefling,Cleric 
Silk,Kobold,Bard
Mavros,Dwarf,Fighter
Fia,Aasimar,Sorcerer
Sol,High Elf,Rogue
Leshara,Elf,Paladin
Zillah,Half-elf,Warlock
Nar,Dragonborn,Paladin
Tarry Caerthel,half-elf,bard
Corsaadi Swordsong,human,ranger
Nettle Coppersmith,dwarf,druid
Sa'amen,Dark Elf,Garbage Wizard
Lorelei Duskryn,Drow,Necromancy wizard
Topaz Honey BerryWeather,Half-elf,Bard
Tyviana Yarlbone,Tiefling,Wizard
Fantasy Ian,Elf,Ranger
Lyda,Halfling,Rogue
Gartack,Tiefling,Druid
Alduin,Human,Rogue
Eli,Human,Ranger
Aethelwaite,Half Elf,Cleric
Mogra,Half Elf,Druid
Gilly,Gnome,Theif
Tevya,Human,Psion
Marthus,Dragonborn,Bard
Nazarr ,Dark Elf,Rogue
W. Slaine Granell,halfling,sorcerer
Iris,human,bard
Lucia,tiefling,sorcerer
macbeth,sylph,cleric
Zuri,Dwarf,Cleric
Kumaa,Human,Warrior 
Kumaa,Human,Warrior 
Lorn Elmlocke,human,paladin
Aesh Elmlocke,half-elf,ranger
Imogene Hands,tiefling,fighter
Alayne,half-elf,cleric
Deliverance,tiefling,paladin
Zira,tabaxi,monk
Aveline,human,warlock
Braga,half-orc,paladin
Dennis Ewecurd,human,fighter
Illuzi Hih Saars,Secret Tiefling,Cleric
Sunie Many-Legs,"Half orc, Half elf",Ranger
Boston Ransom Amadethnya,Aasimar half elf,Warlock
Aerathirn,Wood elf,ranger
Elhas Windwalker,Firbolg,Ranger
Paralin,Gnome,wizard
Sargash,Human,Paladin
Halmar,Elf,Barbarian
Falcon Oakwalker,Human,Rogue
Rowen,Elf,Druid
Dorian,Halfling,Rogue
Arden,Half-Elf,Wizard
Caelynn,Half-elf,Bard
Lenale,Elf,Rogue
Niavara Amastacia ,Wood elf,Sorcerer
Tanis Breakwater,Human,Cleric
Johanna,tiefling,druid
Fallowgrey,dwarf,cleric
Erzula,human,thief
Cirrigana,elf,ranger
Kekektu,Aarakocra,Monk
Kellari,Human,Fighter
Ordma,Tiefling,Bard
Das,Dwarf,Cleric
Perpetua Bell,Human,Wizard
Lalo Islemere,Stout Halfling,Path of Ancients Barbarian
Propriety,Tiefling,Oath of Vengeance Paladin
Evella Raxia,Elf,Rogue
Dreck,half-orc,barbarian
Azra Draffin,Tiefling,Wizard
Sovegrim,Human,Bard
Dave,Human,Sorcerer
Soggy Paws,Tabaxi,Rogue
Arri Akane Ash,Human,Fighter
"Sabine ""Hera"" Darkborne",Half-fiend,Fighter/Assassin/Archer
Brother Paper,human,Paper cleric
Lu'Ar'Yn,Quarter Gold Dragon,Paladin
Sabine Darkborne,Half-Fiend,Arcane Archer
Doin,Dwarf,Fighter
Mot,human,warlock
Ejiro,Aarakocra,Druid
Eilora NightSquirrel,Elf,Ranger
Gwendolyn Birch,half elf,ranger
Calyliel,Cherub,Lord
Addy Nimblefoot,Halfling,Fighter
Corax Lavdacus,Tiefling,Warlock Hexblade
Elonidas,Human,Eldritch Knight Fighter
Hrothgar of Tronjheim,Dwarf,Cleric of the Life Domain
Theonicus Chlorianthus ,Tiefling,Sorcerer of a Draconic bloodline
Urzog,Half-orc,Barbarian Berserker
Dean Wesrey,Drow,Swashbuckler
Aseir,Human,Druid
Feynak Mikosh,wood elf,druid
Khemed of Calishite,half-elf,rogue
Fenga,half-orc,fighter
Corrin,dragonborn,paladin
Grim Greenslade,human,paladin
Honorable Pyralspite,dragonborn,paladin
Ilythyria,Elf,Wizard
Yeudh,Gith,Wizard
Aphaeresis,Human,Monk
Win Weatherglass,elf,rogue
T'Kell Imbry,dragonborn,bard
Amaranth Holimion,elf,wizard
Oren Deathhand,gnome,wizard
Aksha Bonebreaker,tiefling,warlock
Valentine Florian,Human,Bard
Azher Akuma,Tiefling,Sorcerer
Felix Maxwell Scott,Human,Wizard
Rebecca Thornswallow,Human,Bard
T Linsn Jizlin,Dwarf,Monk
Yvonne Kalveth,Elf,Psion
Erin Wake Beaumont,Human,Sorcerer
Ganthor Valhera,Human,Bard
Adsidua Stauffer,Elf,Ranger
Cerridwyn Asmodeus,Halfling,Rogue
Pyridoxine Buxtehude,Tiefling,Ranger
Radagast Sun'srah,Dwarf,Druid
Minch O'Connel,Gnome,Wizard
Raggard,Half-orc,Barbarian
Rose Surrexerunt,Elf,Wizard
Eberdeb Pingun,Gnome,Druid
Simon Annam,Human,Cleric
Finnigan Finnigan,half-elf,rogue
Cavendish Eythersi,high elf,rogue
Rowan,half-elf,paladin
Raphaela,shifter,barbarian
Gatskath Wanderstrider,goliath,barbarian
Vivian Valentine Verdigris,half-elf,cleric
Bellamvier Lipwin,Forest Gnome,Rogue
Durd,Dwarf,Druid
Temperance Gruukash,half-orc,warlock
Sorcha,human,fighter
Nara,half-orc,fighter
Kael,half-elf,paladin
Kestrel Siannodel,elf,bard
Jayda Windcrest,human,cleric
Orryn Varrick,half-elf,rogue
Mordechai Wiseglade,human,cleric
Tris Kitt Smevins,halfling,rogue
Ellian Brightwood,half-elf,rogue
Sulrandir,elf,ranger
Cerise,human,rogue
Zargarax,dragonborn,rogue
Sunshine,tiefling,rogue
Mitch,elf,warlock
Malark,human,fighter
Baum,dwarf,cleric
Ebony Way,human,wizard
Kestrel,drow,wizard
Ayda,elf,wizard
Amra,elf,fighter
Clorox Slirgbn,dragonborn,sorcerer
German Stonewurst,dwarf,fighter
Smorgan,half-orc,ranger
Orryn Varrick,gnome,rogue
Eris,elf,rogue
Nara,half-orc,fighter/cleric
Hawke Heavybrook,drow,wizard
Haron,Half-orc,Barbarian
Skyfire,Human,Sorcerer
Zarhan Fastfire,Drow,Warlock
Asks Annoying Questions,Goblin,Sorcerer
Auroree,Air Genasi,Rogue
Hulda,Orc,Barbarian
Umiere Malak,Human,Warlock
Duncan Drask,Halfling,Rogue
"Eltheriabeth ""Gandy"" Gandariotharius",Half-elf,Ranger
Tarol Hutchling,Human,Cleric
Xerxes the Mighty,Gnome,Wizard
Jimmy the Tinker,Human,Rogue21
Merric,Human,Fighter
Gruk,Half-Orc,Barbarian
Vedd,dragonkin,cleric
Balshazzar,half-giant,warblade
Dimbly,Dragonborn,Paladin
Simon Blackjam,Halfling,Bard
Dolores,Tiefling,Warlock
Ennar Ameski,Half-elf vampire,Rogue
Orsik Battlehammer,dwarf,bard
Kul,Goliath,Paladin
Booknose,Dragonborn,Cleric
Karlphoyin,Forest Gnome,Wizard
Rapira,Sun Elf,Bladesinger Wizard
Aliander,Half-Elf,Fighter
Na'ara the Bloodstained,Orc,Barbarian
Isolde,Human,Bard
Bison,Half-Orc,Barbarian
Ignergot,Goblin,Fighter
Bowelthazar,Human,Barbarian/Poop Wizard
Safia Reed,Human,Rogue
Claire Plainspire,Half-elf,Bard
Rathbore Deinmarah,Dragonborn,Monk
Madron the Red,Goliath,Barbarian
Zaos Aelar,High Elf,Cleric
Belyraen Auvryani,Drow,Sorcerer
Moonflower,Wood Elf,Cleric
Franz de Renais,Changeling,Rogue
Benn Kenneth,Half-Elf,Paladin
Angelo,Human,Rogue
Raziros,Dragonborn,Sorcerer
Beerus,Dragonborn,Monk
Scout,Half elf,Gunslinger
Babael,Tiefling,Bard
Taerun,Human,Alchemist
Thokk,Half-orc,Druid
Calamity,Tiefling,Cleric
Zanna Timbers,gnome,rogue/monk
Aligheri,Gnome,Tinker
Dack Sninner,Goblin,Ranger
Rory Ichor,Human,Rogue
Polly,Aarakocra,Sorcerer
Yevelda,half-orc,barbarian
Alice Smith,Human,Wizard
Blick Cidnan,Gnome,Wizard
Cloud River's End,Tabaxi,Ranger
Skeleton Sam,Skeleton,Bard
Faen,Half-elf,Sorcerer
Natali Chernin,Human,Ranger
Gizzard Blizzard,Lizardfolk,Wizard
Mara Geni,Earth Genasi,Paladin
Murdo Murray Matheson,Dwarf,Sorceror
Zook Timbers,Forest Gnome,Ranger
Morthos the Random,Tiefling,Warlock
Sulmaeg Shinethorn,Wood elf,Fighter
Graham Marsh,Elf,Warlock 
Ellie,Water Genasi,Druid
Eithlynn,Dragonborn,Paladin
Sorel Knotweed,Half-Elf,Bard
Esharra,Centaur,Paladin
Bronzegoat the Brave,Human,Warrior
Mrrow,Weretiger,Pirate
Aleyne of Deneir,Half-elf,Cleric
"Filucco ""Lucky"" Lakedo",Tiefling,Bard
Corvus Vesta,Half-Elf,Ranger
Täysikuu,Human,Wizard
Coronis Vesta,Elf,Witch
Elspeth Bonewing,Elf,Wizard
Gilgrim,Dwarf,Sorcerer
Allie Goldbottle,Halfling,Monk
Astrid,Human,Gunslinger
Otilia Grayson DuPuis,Human,Mystic
Alvina,Human,Cleric
J'soud Flaskguard,Dwarf,Bard
Suishi,Cleric of Umberlee,Water Genasi
Salami,Goblin,Sorcerer
Glod Ironfoundersson,Dwarf,Fighter
Blunder ,Tiefling,Rogue
Nasir Bane,Half-Orc,Fighter
Geth Gronnraven,Half-elf,Paladin
Errich,Halfling,Seeker
Athos Eldin,Human,Cleric
Lamont Cranston,Human,Ranger
Larry Brushbottom,Halfling,Paladin
Chance,Teifling,Sorcerer
Leucis Fallingstar,Tiefling,Bard
Astra,Dragonborn,Wizard
Astra,Dragonborn,Wizard
Malik al-Din,Human,Paladin
Eglath,Goliath,Barbarian
Luz,Half-elf,Warlock
Omlol,Goliath,Barbarian
Morgana,Human,Warlock
Cinna,Tabaxi,Ranger
Chord,High elf,Bard
Carson MacQueen,human,bard
Kroow,kenku,rogue
Wess Pyrefall,Human ,Warlock
